"Cluster","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Thin to Mature (Down)","Metabolism","Carbohydrate metabolism","sce00620","Pyruvate metabolism","12/209","52/2564",0.230769230769231,2.83106367316894,3.97326280186154,0.000693481918950594,0.00754161586858771,0.00602234298036042,"YAL038W/YBR221C/YCR105W/YEL071W/YIR031C/YKR097W/YLR153C/YMR303C/YNR016C/YOL126C/YPL028W/YPL280W",12
"Thin to Mature (Down)","Metabolism","Energy metabolism","sce00710","Carbon fixation by Calvin cycle","7/209","21/2564",0.333333333333333,4.08931419457735,4.23399691828945,0.000934774101846913,0.00903614965118683,0.00721580008443231,"YCR012W/YJL052W/YKL106W/YKR097W/YLR377C/YOL126C/YPR074C",7
"Thin to Mature (Down)","Metabolism","Global and overview maps","sce01230","Biosynthesis of amino acids","20/209","125/2564",0.16,1.96287081339713,3.28752541785423,0.00214579960685793,0.018668456579664,0.0149076604265919,"YAL038W/YCL018W/YCL064C/YCR005C/YCR012W/YEL046C/YFR055W/YGR254W/YHR018C/YHR174W/YJL052W/YJL071W/YKL106W/YKL181W/YLR174W/YOL056W/YOL061W/YPR001W/YPR060C/YPR074C",20
"Thin to Mature (Down)","Metabolism","Lipid metabolism","sce01040","Biosynthesis of unsaturated fatty acids","4/209","10/2564",0.4,4.90717703349282,3.68726739760434,0.00608482420541757,0.0481254278064845,0.0384304686657952,"YDL015C/YGL055W/YJL196C/YLR372W",4
"Early to Mature (Up)","Genetic Information Processing","Translation","sce03010","Ribosome","66/359","214/2564",0.308411214953271,2.20269179704787,7.41386263143868,2.06978794141112e-11,2.00769430316878e-09,1.80834104354866e-09,"YBR189W/YBR268W/YBR282W/YCR003W/YCR071C/YDL045W-A/YDL075W/YDL130W/YDL133C-A/YDL136W/YDL184C/YDL202W/YDR405W/YDR447C/YDR462W/YDR500C/YER050C/YER056C-A/YER131W/YFR032C-A/YFR049W/YGL147C/YGL189C/YGR076C/YGR148C/YGR215W/YHR010W/YIL052C/YJL063C/YJL096W/YJL136C/YJL189W/YJL190C/YJR094W-A/YJR113C/YKL003C/YLR009W/YLR167W/YLR185W/YLR287C-A/YLR325C/YLR388W/YLR439W/YML009C/YMR121C/YMR158W/YMR188C/YMR193W/YMR194W/YMR225C/YMR230W/YMR286W/YNCL0014C/YNCL0018W/YNCL0027W/YNL002C/YNL081C/YNL185C/YNL252C/YNR037C/YOR182C/YPL013C/YPL249C-A/YPR043W/YPR100W/YPR166C",66
"Early to Mature (Up)","Genetic Information Processing","Folding, sorting and degradation","sce03050","Proteasome","19/359","36/2564",0.527777777777778,3.76942123181678,6.75101329817456,3.37578933814405e-08,1.63725782899986e-06,1.47468692139977e-06,"YBL041W/YBR173C/YDL007W/YDR363W-A/YDR394W/YDR427W/YFR004W/YFR052W/YGL011C/YGL048C/YGR135W/YGR253C/YHR027C/YHR200W/YIL075C/YOL038W/YOR157C/YOR261C/YPR103W",19
"Early to Mature (Up)","Metabolism","Energy metabolism","sce00190","Oxidative phosphorylation","24/359","79/2564",0.30379746835443,2.16974013610239,4.26046469940318,0.000106510392169539,0.00294593517605012,0.00265341963767944,"YBL099W/YDL067C/YDR322C-A/YDR529C/YEL039C/YFR033C/YGL191W/YHR039C-A/YJL045W/YJL166W/YJR121W/YKL016C/YKL148C/YLL009C/YLR295C/YML081C-A/YMR145C/YMR256C/YOL077W-A/YOR065W/YPL078C/YPL271W/YPR020W/YPR191W",24
"Early to Mature (Up)","Metabolism","Carbohydrate metabolism","sce00020","Citrate cycle (TCA cycle)","13/359","31/2564",0.419354838709677,2.99505795668973,4.50854074648219,0.000121481862929902,0.00294593517605012,0.00265341963767944,"YBR218C/YDR148C/YFL018C/YGL062W/YJL045W/YKL085W/YKL148C/YKR097W/YLR174W/YNL037C/YNR001C/YOR136W/YPL262W",13
"Early to Mature (Up)","Metabolism","Energy metabolism","sce00920","Sulfur metabolism","7/359","15/2564",0.466666666666667,3.33296193129062,3.65582665001019,0.00232857113421466,0.0451742800037643,0.040688716661014,"YFR030W/YJR010W/YJR137C/YKL001C/YLR303W/YNL277W/YPR167C",7
"Early to Mature (Down)","Metabolism","Global and overview maps","sce01110","Biosynthesis of secondary metabolites","87/290","372/2564",0.233870967741935,2.06774193548387,7.95235147951384,3.11504580516736e-13,3.08389534711569e-11,2.16413708569522e-11,"YAL038W/YAL061W/YBR029C/YBR196C/YBR208C/YCL018W/YCL064C/YCR005C/YCR012W/YCR068W/YCR105W/YDL015C/YDL021W/YDL090C/YDR050C/YEL046C/YER005W/YER141W/YFL053W/YFR055W/YGL001C/YGL009C/YGL012W/YGL205W/YGL253W/YGR060W/YGR087C/YGR088W/YGR157W/YGR175C/YGR240C/YGR254W/YGR256W/YHL011C/YHR007C/YHR046C/YHR072W/YHR123W/YHR174W/YHR183W/YIL020C/YIL053W/YIR031C/YJL052W/YJL196C/YJR009C/YJR019C/YJR148W/YKL019W/YKL055C/YKL060C/YKL106W/YKL152C/YKL181W/YKR031C/YLL058W/YLR044C/YLR056W/YLR100W/YLR134W/YLR142W/YLR153C/YLR164W/YLR446W/YLR450W/YML070W/YML075C/YMR015C/YMR170C/YMR202W/YMR207C/YMR208W/YMR303C/YMR323W/YNL169C/YNL280C/YNR016C/YNR043W/YOL056W/YOL061W/YOL086C/YOL126C/YOR274W/YOR347C/YPL028W/YPL273W/YPR035W",87
